VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1750873756500	29.5953	-19.907	-1.92403	0.999989	0	0	-0.00460923	img_Drone1__0_1750873917928806800.png
Drone1	1750873756758	29.5975	-19.9049	-1.94041	0.997321	0.0490237	-0.0541128	-0.0044213	img_Drone1__0_1750873918280820600.png
Drone1	1750873757049	29.7049	-19.8092	-2.19651	0.99252	0.0806497	-0.0915796	-0.00345142	img_Drone1__0_1750873918685739300.png
Drone1	1750873757352	29.975	-19.5707	-2.46907	0.995438	0.063152	-0.0714523	-0.00304971	img_Drone1__0_1750873919060859500.png
Drone1	1750873757622	30.3193	-19.2673	-2.65954	0.997673	0.0453925	-0.0507992	-0.00286479	img_Drone1__0_1750873919425533600.png
Drone1	1750873757922	30.7695	-18.8701	-2.77188	0.99669	-0.0535959	0.0611015	-0.00185989	img_Drone1__0_1750873919805108800.png
Drone1	1750873758246	31.1503	-18.5334	-2.8119	0.990389	-0.0908255	0.104307	-0.000406179	img_Drone1__0_1750873920203555800.png
Drone1	1750873758513	31.3105	-18.3809	-2.82421	0.995083	0.058162	0.0791062	-0.0130059	img_Drone1__0_1750873920548672700.png
Drone1	1750873758804	31.3252	-18.1096	-3.05442	0.988236	0.14423	0.0461222	-0.021468	img_Drone1__0_1750873920910977400.png
Drone1	1750873759101	31.2581	-17.5915	-3.29583	0.992299	0.118459	0.0281762	-0.0227088	img_Drone1__0_1750873921282857300.png
Drone1	1750873759392	31.152	-16.9028	-3.44542	0.996065	0.083715	0.0178142	-0.0229987	img_Drone1__0_1750873921657020600.png
Drone1	1750873759698	31.0216	-16.0905	-3.50917	0.990907	-0.130428	-0.0229749	-0.0237334	img_Drone1__0_1750873922022514200.png
Drone1	1750873759968	30.9346	-15.5644	-3.6234	0.983119	-0.178585	-0.0314694	-0.0243637	img_Drone1__0_1750873922391049300.png
Drone1	1750873760235	30.8783	-15.3236	-3.74167	0.976605	-0.212703	-0.00035034	-0.0316301	img_Drone1__0_1750873922769282900.png
Drone1	1750873760514	30.8156	-15.3648	-3.78039	0.985017	-0.168985	0.00714295	-0.0336946	img_Drone1__0_1750873923140435400.png
Drone1	1750873760820	30.7291	-15.6538	-3.6445	0.992669	-0.115705	0.00656621	-0.0343083	img_Drone1__0_1750873923531963700.png
Drone1	1750873761093	30.6372	-16.0752	-3.43148	0.998262	-0.0478379	0.00118613	-0.0344049	img_Drone1__0_1750873923895776200.png
Drone1	1750873761426	30.5329	-16.6244	-3.43576	0.993177	0.109972	-0.0202113	-0.0331228	img_Drone1__0_1750873924310387400.png
Drone1	1750873761684	30.4846	-16.8913	-3.54977	0.993575	0.107603	0.0213937	-0.0277858	img_Drone1__0_1750873924645376800.png
Drone1	1750873761978	30.4088	-17.011	-3.73005	0.996002	0.075087	0.0418255	-0.024362	img_Drone1__0_1750873925014558800.png
Drone1	1750873762269	30.2729	-17.0051	-3.87115	0.997882	0.050397	0.033495	-0.0238763	img_Drone1__0_1750873925382928600.png
Drone1	1750873762554	30.0892	-16.9173	-3.98571	0.998873	0.0336656	0.0234849	-0.0238378	img_Drone1__0_1750873925746408400.png
Drone1	1750873762860	29.8659	-16.7764	-4.01239	0.99882	-0.0193698	-0.0369562	-0.0248631	img_Drone1__0_1750873926111734200.png
Drone1	1750873763139	29.7119	-16.6734	-4.00392	0.99782	-0.0328455	-0.0513203	-0.0253413	img_Drone1__0_1750873926478270600.png
Drone1	1750873763415	29.5972	-16.6384	-4.10994	0.994784	-0.05754	0.0783319	-0.0309533	img_Drone1__0_1750873926843493800.png
Drone1	1750873763697	29.364	-16.6976	-4.34603	0.994676	-0.047783	0.0855328	-0.0319527	img_Drone1__0_1750873927207824600.png
Drone1	1750873763982	28.9976	-16.8268	-4.55139	0.996824	-0.0340772	0.064432	-0.0320844	img_Drone1__0_1750873927573696600.png
Drone1	1750873764270	28.5256	-17.0076	-4.72339	0.999209	-0.0110452	0.0207235	-0.0320884	img_Drone1__0_1750873927950217100.png
Drone1	1750873764594	27.9955	-17.2168	-4.75942	0.992757	0.0434805	-0.107836	-0.0302499	img_Drone1__0_1750873928392045400.png
Drone1	1750873764843	27.7371	-17.3211	-4.81564	0.9892	0.0784969	-0.121008	-0.0260404	img_Drone1__0_1750873928731139300.png
Drone1	1750873765104	27.646	-17.3275	-4.94894	0.991246	0.0835686	-0.0995047	-0.0233786	img_Drone1__0_1750873929093174700.png
Drone1	1750873765392	27.6912	-17.2201	-5.02589	0.995247	0.0639325	-0.0698308	-0.0227774	img_Drone1__0_1750873929458018600.png
Drone1	1750873765659	27.8321	-17.0348	-5.04301	0.997525	0.0458389	-0.0482792	-0.0226138	img_Drone1__0_1750873929820895000.png
Drone1	1750873766076	28.1517	-16.6602	-5.02697	0.997595	-0.0506582	0.0417647	-0.0222134	img_Drone1__0_1750873930372058100.png
Drone1	1750873766352	28.3092	-16.4788	-5.0498	0.996024	-0.0652939	0.0565532	-0.0218048	img_Drone1__0_1750873930743774300.png
Drone1	1750873766781	28.4377	-16.2438	-4.84879	0.996385	0.0779831	0.0187743	-0.0279769	img_Drone1__0_1750873931296906800.png
Drone1	1750873767054	28.4825	-15.9693	-4.6816	0.997342	0.0662403	0.0111465	-0.0282328	img_Drone1__0_1750873931663687900.png
Drone1	1750873767348	28.5154	-15.5685	-4.48495	0.998472	0.0469733	0.00690428	-0.0282875	img_Drone1__0_1750873932028520800.png
Drone1	1750873767654	28.5381	-15.0895	-4.37876	0.996995	-0.0722313	0.00334281	-0.0277817	img_Drone1__0_1750873932424447800.png
Drone1	1750873767954	28.5488	-14.7378	-4.44984	0.99376	-0.108005	0.00342782	-0.0276588	img_Drone1__0_1750873932823185800.png
Drone1	1750873768188	28.5528	-14.5832	-4.46937	0.99676	-0.0408975	-0.0663137	-0.0199827	img_Drone1__0_1750873933169608500.png
Drone1	1750873768476	28.656	-14.4596	-4.53704	0.994719	0.0141848	-0.100836	-0.0128448	img_Drone1__0_1750873933571397200.png
Drone1	1750873768776	28.9332	-14.316	-4.60831	0.996688	0.0186698	-0.0783046	-0.0115066	img_Drone1__0_1750873933965536700.png
Drone1	1750873769070	29.3346	-14.1471	-4.64064	0.998372	0.0143782	-0.0540393	-0.0112428	img_Drone1__0_1750873934338931100.png
Drone1	1750873769349	29.7791	-13.9729	-4.63871	0.997186	-0.0287107	0.0683353	-0.0111943	img_Drone1__0_1750873934714917400.png
Drone1	1750873769661	30.1582	-13.8266	-4.68984	0.992997	-0.0425473	0.109687	-0.0107157	img_Drone1__0_1750873935111740000.png
Drone1	1750873769925	30.3144	-13.7669	-4.74885	0.993571	-0.0583352	0.0966742	-0.00821844	img_Drone1__0_1750873935462666100.png
Drone1	1750873770210	30.2664	-13.8257	-5.1504	0.996042	-0.0552465	0.0693045	-0.00677586	img_Drone1__0_1750873935834134000.png
Drone1	1750873770510	30.0846	-13.9874	-5.61771	0.998138	-0.0398012	0.0457575	-0.00648999	img_Drone1__0_1750873936205612400.png
Drone1	1750873770798	29.8352	-14.2063	-6.02965	0.99916	-0.0270563	0.0301084	-0.00640952	img_Drone1__0_1750873936578197400.png
Drone1	1750873771071	29.5632	-14.4451	-6.30883	0.998257	0.0388015	-0.0440659	-0.00594266	img_Drone1__0_1750873936944976500.png
Drone1	1750873771377	29.2994	-14.6772	-6.25448	0.995304	0.0636219	-0.072762	-0.00532615	img_Drone1__0_1750873937343336500.png
Drone1	1750873771632	29.18	-14.7727	-6.21382	0.989455	0.134758	-0.0530776	0.00146255	img_Drone1__0_1750873937680843100.png
Drone1	1750873771923	29.1636	-14.6027	-6.47137	0.990008	0.137472	-0.0310426	0.00471658	img_Drone1__0_1750873938047048300.png
Drone1	1750873772211	29.1999	-14.2143	-6.69369	0.994599	0.101872	-0.0191348	0.00529773	img_Drone1__0_1750873938439476000.png
Drone1	1750873772487	29.2615	-13.699	-6.83248	0.997392	0.0709093	-0.0123315	0.00544821	img_Drone1__0_1750873938817261900.png
Drone1	1750873772766	29.3375	-13.104	-6.88286	0.99552	-0.0936414	0.0118023	0.00556255	img_Drone1__0_1750873939188511500.png
Drone1	1750873773060	29.4004	-12.6242	-6.9488	0.989332	-0.144273	0.0193134	0.00588658	img_Drone1__0_1750873939558984000.png
Drone1	1750873773342	29.4631	-12.3174	-6.9092	0.997554	0.00376291	-0.0673792	0.0182233	img_Drone1__0_1750873939919931000.png
Drone1	1750873773612	29.6142	-12.0294	-6.87579	0.99737	0.0259941	-0.0643802	0.0208181	img_Drone1__0_1750873940289998800.png
