TIME,POS_X,POS_Y,POS_Z,VEL_X,VEL_Y,VEL_Z,LABEL,SPOOF_TYPE
1752501091.441,13.238,3.755,-1.846,1.874,1.726,0.626,0,none
1752501092.809,13.976,4.304,-2.708,-0.620,-0.821,-0.862,0,none
1752501094.202,13.260,2.343,-2.626,-0.480,-2.828,0.522,0,none
1752501095.635,13.449,0.521,-3.153,0.714,-0.382,-0.347,0,none
1752501097.066,14.645,0.778,-3.008,1.445,0.692,0.265,0,none
1752501098.479,14.813,2.122,-2.545,-1.263,1.747,0.996,0,none
1752501099.839,14.965,3.697,-3.356,1.914,1.101,-1.199,0,none
1752501101.237,16.107,4.962,-4.058,-0.241,1.321,-0.245,0,none
1752501102.662,15.804,7.297,-4.378,-0.002,3.052,-0.148,0,none
1752501104.042,15.067,9.815,-4.531,-1.465,1.357,0.161,0,none
1752501105.453,12.978,10.582,-4.533,-2.281,0.239,0.054,0,none
1752501106.856,10.622,10.876,-5.093,-2.038,0.422,-0.627,0,none
1752501108.264,9.514,11.249,-5.248,0.077,0.227,0.226,0,none
1752501109.689,8.678,11.585,-4.790,-1.951,0.434,0.721,0,none
1752501111.104,7.643,11.677,-5.279,0.306,-0.273,-0.413,0,none
1752501112.546,8.509,11.897,-5.800,1.068,0.809,-0.421,0,none
1752501113.941,9.624,13.825,-6.417,0.962,2.712,-0.403,0,none
1752501115.360,10.756,15.802,-6.393,1.171,0.671,0.372,0,none
1752501116.786,12.245,16.665,-6.064,1.591,1.236,0.300,0,none
1752501118.201,12.217,18.268,-6.419,-1.618,1.594,0.098,0,none
1752501119.654,19.879,26.853,-5.320,-2.075,1.493,1.171,1,pos
1752501121.031,16.744,26.927,-5.605,2.070,1.181,-0.171,1,pos
1752501122.464,19.871,31.561,-6.608,-0.126,0.904,-0.845,1,pos
1752501123.926,19.606,29.694,-5.636,-1.268,1.300,1.636,1,pos
1752501125.354,20.373,31.690,-5.833,1.185,1.779,-0.727,1,pos
1752501126.796,12.116,26.520,-5.805,1.401,0.300,0.296,0,none
1752501128.208,12.704,25.465,-6.176,-0.273,-2.026,-0.049,0,none
1752501129.613,12.220,24.530,-6.385,-0.451,0.518,0.148,0,none
1752501131.059,11.684,25.468,-6.840,-0.567,0.870,-0.542,0,none
1752501132.483,11.021,26.455,-6.611,-0.641,0.962,0.314,0,none
1752501133.930,10.139,27.302,-6.006,-1.021,0.568,0.591,0,none
1752501135.321,9.596,28.004,-5.659,0.106,0.802,0.348,0,none
1752501136.754,10.066,28.731,-5.012,0.689,0.494,0.636,0,none
1752501138.204,10.728,28.407,-4.840,0.485,-1.101,0.230,0,none
1752501139.649,11.454,27.396,-4.445,0.911,-0.545,0.389,0,none
1752501141.095,11.550,26.083,-4.441,-0.805,-2.007,0.239,0,none
1752501142.469,11.414,24.241,-4.945,0.765,-1.238,-0.421,0,none
1752501143.899,11.257,23.744,-6.354,-1.244,0.146,-1.179,0,none
1752501145.285,10.384,24.282,-5.185,0.041,0.856,3.352,0,none
1752501146.709,11.405,24.224,-4.106,1.428,-1.027,-0.315,0,none
1752501148.130,11.424,23.207,-4.570,-3.804,-3.972,0.039,1,vel
1752501149.504,10.182,23.478,-5.128,-4.596,0.936,-0.377,1,vel
1752501150.906,10.663,24.812,-4.076,-1.794,0.366,1.662,1,vel
1752501152.329,10.483,24.959,-4.069,0.221,1.688,-0.360,1,vel
1752501153.723,9.097,24.606,-4.545,1.668,-2.785,-0.153,1,vel
1752501155.143,10.037,24.260,-5.645,1.483,-0.999,-1.066,0,none
1752501156.522,10.917,24.170,-5.653,-0.092,1.168,0.858,0,none
1752501157.963,10.362,24.912,-5.633,-0.671,-0.138,-0.036,0,none
1752501159.404,8.788,24.056,-5.166,-2.365,-1.363,0.783,0,none
1752501160.839,6.297,22.521,-5.060,-1.982,-1.332,-0.056,0,none
1752501162.262,5.050,22.110,-5.165,-0.376,0.589,0.265,0,none
1752501163.694,4.155,23.452,-5.977,-1.473,1.654,-0.888,0,none
1752501165.113,4.397,24.807,-7.363,2.019,0.814,-0.769,0,none
1752501166.527,5.762,23.852,-8.422,0.198,-2.426,-0.384,0,none
1752501167.936,5.343,21.915,-8.498,-0.769,-0.729,0.192,0,none
1752501169.338,4.845,22.646,-8.444,-0.071,1.889,0.450,0,none
1752501170.727,4.426,24.974,-7.797,-0.845,2.218,0.632,0,none
1752501172.143,3.520,26.864,-7.699,-0.719,1.268,0.047,0,none
1752501173.564,2.842,28.014,-7.721,-0.566,0.959,-0.049,0,none
1752501174.965,3.135,28.388,-7.591,1.174,-0.312,0.419,0,none
1752501176.402,3.614,28.177,-7.401,-0.515,0.070,0.304,0,none
1752501177.781,3.884,28.199,-7.634,1.268,-0.102,-0.116,0,none
1752501179.189,5.848,27.549,-7.148,2.271,-1.176,0.661,0,none
1752501180.615,8.219,25.864,-7.695,2.043,-1.808,-0.780,0,none
1752501182.001,10.276,25.862,-8.658,1.807,1.792,-0.182,0,none
1752501183.412,10.660,27.206,-9.792,-0.963,0.273,-0.845,0,none
1752501184.827,9.099,27.544,-8.497,-1.884,0.669,2.458,0,none
1752501186.227,8.048,28.459,-7.969,-0.007,0.870,-0.130,0,none
1752501187.649,7.344,28.375,-7.718,-1.515,-1.114,0.701,0,none
1752501189.038,5.629,28.173,-8.231,-1.436,0.954,-0.552,0,none
1752501190.428,5.176,28.386,-8.412,0.621,-0.847,0.397,0,none
1752501191.824,6.766,26.657,-8.058,2.155,-2.161,0.524,0,none
1752501193.259,8.106,24.438,-8.279,0.152,-1.806,-0.110,0,none
1752501194.695,7.131,23.185,-8.270,-1.818,-0.523,0.344,0,none
1752501196.080,5.415,23.276,-8.281,-1.141,0.580,0.014,0,none
1752501197.479,5.198,23.385,-9.445,0.567,-0.458,-1.168,0,none
1752501198.900,5.602,23.320,-9.796,-0.007,0.554,-0.082,0,none
1752501200.285,5.287,23.502,-9.779,-0.517,-0.414,0.076,0,none
1752501201.686,5.069,22.745,-10.040,0.193,-0.879,-0.266,0,none
1752501203.065,4.686,22.322,-11.847,-0.953,0.083,-2.008,0,none
1752501204.452,3.558,22.833,-12.280,-1.060,0.973,0.154,0,none
1752501205.816,2.434,23.353,-12.123,-1.028,-0.188,0.207,0,none
1752501207.158,0.328,23.344,-13.423,-2.816,0.303,-1.521,0,none
1752501208.533,-0.897,24.266,-14.421,0.740,1.329,0.188,0,none
1752501209.864,-0.413,24.835,-14.870,-0.325,-0.375,-0.329,0,none
1752501211.161,-1.878,23.783,-16.607,-2.140,-1.353,-1.958,0,none
1752501212.519,-2.415,23.540,-18.666,1.208,1.012,-1.011,0,none
1752501213.825,-1.532,24.029,-18.943,-0.025,-0.511,0.154,0,none
1752501215.144,-1.110,24.145,-18.651,1.047,1.012,0.495,0,none
1752501216.461,0.737,25.934,-18.326,2.283,2.146,0.399,0,none
1752501217.761,3.028,28.168,-17.770,1.796,1.864,0.521,0,none
1752501219.064,4.407,30.787,-18.776,0.865,2.997,-1.307,0,none
1752501220.380,4.581,32.648,-20.113,-0.493,0.309,-0.674,0,none
1752501221.676,2.970,33.219,-20.943,-2.407,1.090,-0.563,0,none
1752501222.965,0.998,35.160,-21.220,-0.973,2.448,0.033,0,none
1752501224.263,0.556,36.621,-21.473,-0.038,0.096,0.088,0,none
1752501225.563,0.974,35.673,-22.078,0.751,-1.578,-0.559,0,none
1752501226.830,2.329,33.989,-21.452,1.873,-1.379,0.947,0,none
1752501228.100,4.251,32.681,-21.831,1.531,-1.096,-0.689,0,none
1752501229.368,6.058,31.584,-22.301,1.887,-0.935,-0.415,0,none
1752501230.660,7.072,31.314,-23.226,0.341,0.893,-0.596,1,vel
1752501231.929,7.458,32.282,-23.398,4.562,5.077,0.017,1,vel
1752501233.213,8.044,33.835,-21.442,-4.313,-2.023,2.839,1,vel
1752501234.521,8.334,34.881,-20.883,-1.482,3.772,-0.568,1,vel
1752501235.810,8.852,34.833,-21.271,-3.484,-3.115,-0.121,1,vel
1752501237.089,7.828,34.588,-21.051,-1.244,0.038,0.259,0,none
1752501238.375,6.439,34.003,-20.691,-1.271,-1.259,0.431,0,none
1752501239.679,5.593,32.157,-20.429,-0.236,-2.037,0.286,0,none
1752501240.993,4.549,30.981,-20.760,-1.808,-0.058,-0.037,0,none
1752501242.321,4.077,31.466,-22.131,0.998,0.693,-1.315,0,none
1752501243.592,5.570,31.577,-22.986,1.553,-0.627,-0.597,0,none
1752501244.867,6.590,30.990,-21.316,-0.023,-0.228,3.083,0,none
1752501246.175,7.253,31.232,-20.786,1.524,0.548,-1.191,0,none
1752501247.471,9.268,31.497,-20.508,2.215,-0.260,0.791,0,none
1752501248.749,12.025,30.458,-20.537,2.809,-1.541,-0.123,0,none
1752501250.048,14.016,28.830,-21.035,0.774,-1.345,-0.280,0,none
1752501251.339,13.559,27.138,-21.926,-1.398,-1.856,-0.705,0,none
1752501252.642,11.715,26.221,-22.799,-1.831,0.284,-0.549,0,none
1752501253.923,10.370,27.274,-23.039,-0.521,1.506,0.002,0,none
1752501255.231,11.335,28.668,-23.467,2.167,0.967,-0.061,0,none
1752501256.486,13.695,29.629,-22.478,1.898,0.854,1.110,0,none
1752501257.752,14.167,29.937,-23.301,-0.822,-0.230,-1.332,0,none
1752501259.072,14.488,29.622,-23.667,1.818,-0.280,0.456,0,none
1752501260.347,15.570,29.115,-24.089,-0.170,-0.655,-0.340,0,none
1752501261.640,15.687,29.425,-24.349,0.656,1.325,0.036,0,none
1752501262.900,15.943,31.314,-23.952,-0.390,1.996,0.482,0,none
1752501264.165,14.504,32.541,-24.662,-2.088,0.269,-0.733,0,none
1752501265.482,14.120,31.931,-26.484,1.357,-1.162,-1.371,0,none
1752501266.764,15.932,31.967,-27.762,1.673,1.403,-0.745,0,none
1752501268.030,16.125,32.891,-29.370,-1.215,-0.010,-1.151,0,none
1752501269.248,14.677,32.384,-29.491,-1.198,-0.887,0.133,0,none
1752501270.463,13.333,31.888,-29.387,-1.328,0.126,0.135,0,none
1752501271.741,13.680,32.230,-30.041,1.886,0.362,-0.244,0,none
1752501272.964,14.932,31.973,-30.203,0.058,-0.871,0.154,0,none
1752501274.204,15.127,31.916,-30.508,0.580,0.935,-0.152,0,none
1752501275.405,15.624,33.123,-30.069,0.210,1.115,0.469,0,none
1752501276.650,15.749,32.756,-29.946,0.079,-1.799,0.560,0,none
1752501277.883,16.345,31.512,-29.748,1.034,-0.135,0.321,0,none
1752501279.106,17.661,31.961,-29.453,1.308,0.787,0.283,0,none
1752501280.326,19.184,32.141,-29.941,1.501,-0.559,-0.487,0,none
1752501281.593,19.421,32.446,-30.635,-1.076,1.260,-0.117,0,none
1752501282.802,18.110,33.262,-30.667,-1.072,-0.035,0.057,0,none
1752501284.027,17.351,33.608,-30.296,-0.308,0.906,0.459,0,none
1752501285.236,17.505,34.896,-30.231,0.553,1.349,0.025,0,none
1752501286.442,17.916,36.271,-30.432,0.091,1.149,-0.227,0,none
1752501287.632,17.779,37.455,-30.731,-0.309,1.052,-0.303,0,none
1752501288.870,18.058,39.510,-31.842,0.856,2.762,-0.991,0,none
1752501290.147,19.359,41.483,-32.373,1.462,0.564,-0.045,0,none
1752501291.377,20.044,41.653,-32.297,-0.344,-0.006,0.280,0,none
1752501292.602,19.701,43.019,-33.445,-0.079,2.465,-1.257,0,none
1752501293.804,19.356,45.344,-33.757,-0.686,1.456,0.028,0,none
1752501295.048,17.830,45.533,-33.610,-2.099,-1.040,0.648,0,none
1752501296.264,15.126,45.275,-33.801,-2.718,0.834,-0.148,0,none
1752501297.514,13.892,46.605,-34.357,0.433,1.369,-0.023,0,none
1752501298.721,15.220,48.469,-34.250,1.781,2.116,0.209,0,none
1752501299.947,17.475,49.122,-34.733,2.270,-0.913,-0.107,0,none
1752501301.178,19.615,49.205,-34.136,1.585,1.494,1.143,0,none
1752501302.381,21.736,51.315,-33.696,2.451,2.045,0.266,0,none
1752501303.608,23.040,53.764,-34.317,-0.114,2.458,-0.429,0,none
1752501304.831,21.610,55.799,-34.771,-2.355,1.203,-0.050,0,none
1752501306.047,19.597,57.186,-35.122,-1.072,1.512,-0.278,0,none
1752501307.282,19.858,58.289,-35.493,1.437,0.438,0.074,0,none
1752501308.496,20.402,59.504,-36.485,-0.666,1.926,-0.793,0,none
1752501309.710,20.457,61.520,-36.697,1.135,1.599,0.153,0,none
1752501310.898,21.433,63.376,-36.352,0.370,1.902,0.361,0,none
1752501312.111,21.170,64.603,-36.277,-0.767,0.232,0.252,0,none
1752501313.302,20.459,64.247,-36.486,-0.408,-0.724,-0.230,0,none
1752501314.482,19.724,63.363,-36.739,-1.038,-0.834,-0.238,0,none
1752501315.688,19.443,62.393,-36.567,0.711,-0.955,0.401,0,none
1752501316.875,20.569,60.946,-37.231,1.140,-1.715,-0.830,0,none
1752501318.079,21.133,59.589,-37.255,-0.263,-0.586,0.357,0,none
1752501319.267,20.357,59.845,-37.448,-1.000,0.953,-0.133,0,none
1752501320.475,19.827,59.487,-39.289,0.030,-1.643,-2.165,0,none
1752501321.672,20.726,58.257,-41.111,1.651,-0.318,-1.301,0,none
1752501322.857,22.607,57.811,-41.165,1.640,-0.744,0.286,0,none
1752501324.032,24.079,56.570,-40.683,1.036,-1.522,0.504,0,none
1752501325.224,24.997,56.785,-41.912,0.736,1.853,-1.459,0,none
